review,content_related,author,quality_and_appearance,manufacture_and_distribution,packaging_and_delivery,price_and_preference,customer_service,overall_experience
là tuổi_thơ Năm nay ra tập kỷ_niệm nên mình nổi hứng xem_lại phim Bây_giờ tìm được gói này thật đáng tiền Mình cũng sẽ không mở_hàng để luôn bọc để sưu_tập,0,0,0,0,0,1,0,0
Đóng_gói hàng rất cẩn bọc sách rất đẹp,0,0,1,0,1,0,0,0
rất đáng tiền,0,0,0,0,0,1,0,0
giao hang nhanh san pham dung nhu mo ta,0,0,0,0,1,0,0,1
Đóng_gói kỹ sách đẹp dù bị cấn gáy và trầy 1 tẹo ở mặt trước khổ sách mình không ưng lắm nhưng bù lại chất_lượng giấy màu cùng các kiểu chữ chữ hài Về nội_dung thì của đã được dành cho quá nhiều lời nhận_xét mỹ_miều rồi Mình không góp thêm gì ngoài lời khen Quá chi_tiết quá đồ_sộ và tuyệt_vời 1 tác_phẩm tôn_vinh trí tưởng_tượng vượt tầm thời_đại của tác_giả Mong 6 cuốn gốc của tác_giả được dịch và xuất_bản tiếp,1,0,1,0,1,0,0,0
Mình đặt 2 cuốn hãng luật và Xứ_Cát vào buổi sáng thì tới trưa bên đã gọi cho mình ra nhận hàng rồi Phải nói là bên làm_việc rất nhanh luôn Sách thì được bọc một lớp chống sốc rất là dày nên không sợ bị cong hay móp sách đâu ạ Lúc mình mở ra thì sách vẫn còn nguyên niêm_phong cả 2 cuốn rất là mới luôn nha Bây_giờ chắc tự_tin đặt sách bên mà không lo sách bị hư_hỏng gì rồi ạ,0,0,1,0,1,0,0,1
Sách không còn gì để bàn_cãi rồi giao hàng đỉnh nha mà nhanh nữa Bọc cũng ổn luôn Chất_lượng sách mới_cứng nguyên niêm_phong Sẽ còn ủng_hộ nhiều,0,0,1,0,1,0,0,1
Sách to và dày hơn mình nghĩ Dịch_thuật chất_lượng Văn_phong kể chuyện cuốn_hút mạch_lạc đúng chất kinh_điển với ngôn_ngữ miêu_tả tỉ_mỉ cùng rất nhiều thông_tin kèm theo khiến cho thế_giới của sống_động hơn thế_giới Trung_Địa của bộ truyện Chúa_Nhẫn_Tuy nhiên chính sự đồ_sộ của tác_phẩm mà để cảm_nhận được tốt nhất trước_tiên hãy xem phim dù phim không lột_tả được hết toàn_bộ tác_phẩm và đọc các phần_phụ lục để có được cái hình_dung tổng_quan trước khi thả mình vào thế_giới của Xứ_Cát_Tác phẩm xoay quanh nhiều yếu_tố chính_trị tôn_giáo nên sẽ không nhẹ_nhàng kiểu được vì_thế để thấy nó hay cần phải chuẩn_bị tâm_thế và hãy đọc nó từ_tốn chứ đừng đọc nó ào_ào Giá_bìa là nhưng mình mua đúng lúc giá giảm còn 171 So với nội_dung của cuốn sách đây là cái giá quá tốt,1,1,3,0,0,1,0,0
Sách in tốt Bìa đẹp Tuy là bìa mềm mà khổ sách khá to cao tương_đương mấy cuốn bìa cứng của Đông_anh khi xếp vào kệ cùng các cuốn khác của Nhã_Nam hơi xộc_xệch Vẫn đang đọc dở_dang nhưng thấy tác_giả xây_dựng một thế_giới rất hấp_dẫn sống_động Nội_dung và tình_tiết cũng ổn,1,0,1,0,0,0,0,0
Nội_dung sách hay đọc rất cuốn và buồn để lại cho mình nhiều cảm_xúc đan_xen lẫn_lộn Hình_thức sách thì có nhiều lỗi như này mình cũng không biết do bên phát_hành hay do người vận_chuyển nữa sách được bọc 1 lớp túi màng bọc ni lông và 1 tấm giảm sóc bìa cạc tông,1,0,2,0,3,0,0,0
