Review,Content-related,Author,Quality and Appearance,Manufacture and Distribution,Packaging and Delivery,Price and Preference,Customer Service,Overall Experience
"Sách vừa về tay sáng nay và mua cùng 2 cuốn khác (cùng tác giả)

Buồn mất 5p vì mới mua hôm qua, hôm nay nhận được hàng chuẩn bị review thì thấy giá giảm thêm so với lúc order tới 35k. Hu hu hu. Tiêc hùi hụi luôn. 

Mình được biết đến William qua 1 người bạn bị ung thư ở Úc và đang hồi phục rất tốt nhờ theo các phương pháp và chỉ dẫn của ông nên mình tìm đọc để cũng sẽ áp dụng cho bản thân và gia đình. 

Tổng quan sách được in với khổ chữ to, rõ, thoáng, rất dễ nhìn. Không gây khó chịu hay “áp lực” cho mắt. 

Cầm tới sách là muốn đọc liền. 

Tiki giao hàng nhanh, đóng gói cẩn thận. 

Có code freeship + đang có khuyến mại nên mua 3 cuốn (lẻ) nhưng order chung vẫn rẻ hơn mua theo combo. 

Sẽ review về nội dung sau khi đọc xong.",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Sách được in màu với nhiều hoạ tiết xinh xắn, hay về nội dung và đẹp về hình thức. Đây là quyển sách rất có giá trị!",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sách dinh vết bẩn lớn ở phía ngoài,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Hàng được bọc cẩn thận, sách mới cứng k hư hại gì 🐸",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"rất hay,đẹp giao hàng vô cùng nhanh và gói hàng vô cùng kỉ 🥰",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Em cuồng sách của bác Nguyễn Nhật Ánh lắm luôn, tiki làm việc cực chất lượng, dự kiến tuần sau mà chỉ sau 2 ngày là về, thật sự rất tuyêt
Còn nội dung khỏi bàn luôn, đọc một trang là sẽ đọc hết cả quyển",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"ối chưa có đọc nhưng của bác thì đọc từ nhỏ rồi, cái tựa là phải mua thôi, fahasa giao nhanh lại yên tâm nữa, sách mới nguyên seal, giá ck nữa",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Nội dung cực kỳ dễ hiểu. Nếu bạn nào muốn học tốt ngữ pháp để tự tin hơn khi sử dụng tiếng Anh thì nên có quyển này. Đơn giản, đầy đủ, nhiều bài tập thực tế.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sách giao rất nhanh, trong vòng 2 ngày là nhận được. Nội dung lôi cuốn và hồi hộp. Hình ảnh được in sắc nét và bìa rất cứng.🙂",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Đây là quyển sách có khả năng gây cười, rất thực tế?. Nên dành cho các bạn trai, bạn gái thời 4.0 này. 
Tiki bảo quản sách chưa tốt, nhưng những cuốn sách bán chạy thì ko có vấn đề gì (trong đó có quyền này).
Nhân viên giao hàng lịch sự, tử tế chỉ cần hướng dẫn đường đi 1 lần là biết nhà.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sách dc gói cẩn thận. Tuy nhiên người giao hàng thái độ quá tệ. Tiki nên có đánh giá tách riêng cho phần sản phẩm và dịch vụ, nếu ko đánh giá sản phẩm sẽ bị ảnh hưởng bởi những trải nghiệm dịch vụ quá tệ này.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sách rất hay và ý nghĩa đọc xong tự nhiên thấy an nhiên lạ thường,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"* Về chất lượng sản phẩm: Sách chắc chắn, nặng tay, trang màu đẹp và in rõ ràng. Nội dung kiến thức rất cơ bản mà cực kỳ hữu ích, trình bày mạch lạc, dễ hiểu. Các yếu tố để tạo nên món ăn ngon đều xuất phát từ nhũng điều cơ bản như thế.
* Về dịch vụ: Tiki giao hàng khá nhanh, sách được đóng gói cẩn thận và vận chuyển tới tay mình tươm tất. 
Cảm ơn Tiki vì sự chu đáo cho mùa dịch này",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Lúc mình mua sale còn 99k. Sách rẻ cũng làm mình hơi lo nhưng sách khá ổn trừ việc rất hay sai chính tả, lỗi dấu từ. Làm người đọc khá khó chịu",2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Nội dung sách rất hay. Sách gửi về còn mới, đóng gói cẩn thận, không trầy xước.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Nội dụng hay, giao hàng nhanh",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Một bản dịch hay, chỉn chu và tâm huyết của First News. Mọi người hãy tránh xa bản dịch của nxb Hồng Đức (cty phát hành Minh Lâm, người dịch Minh Đức - trình độ dịch rất non nớt và vô vàn lỗi chính tả).",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Đoảng gói ok, truyện nguyên seal, đủ pk ♡",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Giao hàng nhanh, shipper tính hiền lành tốt bụng",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Một số ý tưởng hay. Quan trọng. Nh giá như viết ngắn gọn, bớt rườm rà thì tốt",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Đúng như tựa sách Bàn có năm chỗ ngồi. Quyển này chủ yếu xoay quanh câu chuyện về tình bạn của năm đứa học trò cấp II (Ngoài ra còn đề cập đến các vấn đề về học lệch) Cách hành văn của Bác Ánh thì cứ phải gọi là siêu gần gũi, dễ cưng ấy. Nói chung đọc quyển này rất thư giãn,  nhẹ nhàng, phù hợp mọi độ tuổi luôn nha.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm hình ảnh đẹp nhưng chữ hơi nhỏ, bé đọc mau chán",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"Đọc xong sách có cảm giác như dịch giả hơn thiên về phụ nữ thì phải với lại có những nội dung thấy hơi sai với thực tế ít nhất là ở VN,có những nội dung về đàn ông nhưng hơi sai cảm giác như tác giả là phụ nữ hơn là nam",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rất hay tuyệt vời y nghĩa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
